organization,fiscal_year_label,fiscal_year,fiscal_year_is_partial,month_abbr,month_num,calendar_year,calendar_month_label,calendar_month_start,component,region,land_filter,location_name,location_type,drug_type,count_of_event,sum_qty_lbs,lat,lon,source_dataset,source_file
AMO,2019,2019,false,JAN,1,2019,2019-01,2019-01-01,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Marine Branch,Fentanyl,3,0.01,42.607,-82.836,amo_fentanyl_branch_monthly_2019_2026_dec.csv,amo-drug-seizures-fy19-fy22.csv
AMO,2019,2019,false,JAN,1,2019,2019-01,2019-01-01,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Marine Branch,Fentanyl,1,0.99,32.7157,-117.1611,amo_fentanyl_branch_monthly_2019_2026_dec.csv,amo-drug-seizures-fy19-fy22.csv
CBP,2019,2019,false,JAN,1,2019,2019-01,2019-01-01,Office of Field Operations,Coastal/Interior,Other,CHICAGO FIELD OFFICE,Field Office,Fentanyl,1,0.0330693393,41.8781,-87.6298,cbp_fentanyl_aor_monthly_2019_2026_dec.csv,nationwide-drugs-fy19-fy22.csv
CBP,2019,2019,false,JAN,1,2019,2019-01,2019-01-01,Office of Field Operations,Northern Border,Other,DETROIT FIELD OFFICE,Field Office,Fentanyl,6,0.1701086813592,42.3314,-83.0458,cbp_fentanyl_aor_monthly_2019_2026_dec.csv,nationwide-drugs-fy19-fy22.csv
CBP,2019,2019,false,JAN,1,2019,2019-01,2019-01-01,Office of Field Operations,Southwest Border,Land Only,EL PASO FIELD OFFICE,Field Office,Fentanyl,1,26.3231940828,31.7619,-106.485,cbp_fentanyl_aor_monthly_2019_2026_dec.csv,nationwide-drugs-fy19-fy22.csv
CBP,2019,2019,false,JAN,1,2019,2019-01,2019-01-01,Office of Field Operations,Coastal/Interior,Other,MIAMI FIELD OFFICE,Field Office,Fentanyl,8,0.0108908357428,25.7617,-80.1918,cbp_fentanyl_aor_monthly_2019_2026_dec.csv,nationwide-drugs-fy19-fy22.csv
CBP,2019,2019,false,JAN,1,2019,2019-01,2019-01-01,Office of Field Operations,Coastal/Interior,Other,NEW ORLEANS FIELD OFFICE,Field Office,Fentanyl,1,0.0508826900696,29.9511,-90.0715,cbp_fentanyl_aor_monthly_2019_2026_dec.csv,nationwide-drugs-fy19-fy22.csv
CBP,2019,2019,false,JAN,1,2019,2019-01,2019-01-01,Office of Field Operations,Coastal/Interior,Other,NEW YORK FIELD OFFICE,Field Office,Fentanyl,1,0.04629707502,40.7128,-74.006,cbp_fentanyl_aor_monthly_2019_2026_dec.csv,nationwide-drugs-fy19-fy22.csv
CBP,2019,2019,false,JAN,1,2019,2019-01,2019-01-01,Office of Field Operations,Southwest Border,Land Only,SAN DIEGO FIELD OFFICE,Field Office,Fentanyl,8,61.126028148906,32.7157,-117.1611,cbp_fentanyl_aor_monthly_2019_2026_dec.csv,nationwide-drugs-fy19-fy22.csv
CBP,2019,2019,false,JAN,1,2019,2019-01,2019-01-01,Office of Field Operations,Northern Border,Other,SEATTLE FIELD OFFICE,Field Office,Fentanyl,1,0.8157103694,47.6062,-122.3321,cbp_fentanyl_aor_monthly_2019_2026_dec.csv,nationwide-drugs-fy19-fy22.csv
