fiscal_year_label,fiscal_year,fiscal_year_is_partial,month_abbr,month_num,calendar_year,calendar_month_label,calendar_month_start,component,region,land_filter,area_of_responsibility,aor_type,drug_type,count_of_event,sum_qty_lbs,source_file
2019,2019,false,APR,4,2019,2019-04,2019-04-01,Office of Field Operations,Northern Border,Other,SEATTLE FIELD OFFICE,Field Office,Fentanyl,1,0.11353806493,nationwide-drugs-fy19-fy22.csv
2019,2019,false,APR,4,2019,2019-04,2019-04-01,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Field Office,Fentanyl,16,112.3350464587184,nationwide-drugs-fy19-fy22.csv
2019,2019,false,APR,4,2019,2019-04,2019-04-01,U.S. Border Patrol,Southwest Border,Land Only,EL CENTRO SECTOR,Sector,Fentanyl,1,18.33,nationwide-drugs-fy19-fy22.csv
2019,2019,false,APR,4,2019,2019-04,2019-04-01,U.S. Border Patrol,Southwest Border,Land Only,RIO GRANDE VALLEY SECTOR,Sector,Fentanyl,1,11.6844,nationwide-drugs-fy19-fy22.csv
2019,2019,false,APR,4,2019,2019-04,2019-04-01,U.S. Border Patrol,Southwest Border,Land Only,TUCSON SECTOR,Sector,Fentanyl,1,0.6173,nationwide-drugs-fy19-fy22.csv
2019,2019,false,APR,4,2019,2019-04,2019-04-01,U.S. Border Patrol,Southwest Border,Land Only,YUMA SECTOR,Sector,Fentanyl,1,0.2842,nationwide-drugs-fy19-fy22.csv
2019,2019,false,MAY,5,2019,2019-05,2019-05-01,Office of Field Operations,Coastal/Interior,Other,CHICAGO FIELD OFFICE,Field Office,Fentanyl,1,0.00881849048,nationwide-drugs-fy19-fy22.csv
2019,2019,false,MAY,5,2019,2019-05,2019-05-01,Office of Field Operations,Northern Border,Land Only,DETROIT FIELD OFFICE,Field Office,Fentanyl,1,7.1429772888,nationwide-drugs-fy19-fy22.csv
2019,2019,false,MAY,5,2019,2019-05,2019-05-01,Office of Field Operations,Southwest Border,Land Only,LAREDO FIELD OFFICE,Field Office,Fentanyl,1,0.037919509064,nationwide-drugs-fy19-fy22.csv
2019,2019,false,MAY,5,2019,2019-05,2019-05-01,Office of Field Operations,Coastal/Interior,Other,NEW ORLEANS FIELD OFFICE,Field Office,Fentanyl,1,2.314853751,nationwide-drugs-fy19-fy22.csv
