Table 3. State Counts for Fentanyl and Fentanyl-Related Compounds: 2020,,,,,,,,,,,,,
"Counts of fentanyl and fentanyl-related compounds submitted to laboratories from January 1, 2020, through December 31, 2020, and analyzed by March 31, 2021",,,,,,,,,,,,,
,,,,,,,,,,,,,
Drug,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho
Fluorobutyryl fentanyl,0,0,0,0,0,0,0,0,0,3,0,0,
Fluorofentanyl,0,0,0,2,0,0,0,0,1,0,0,0,
Fluoroisobutyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,
Furanyl benzyl fentanyl,0,6,0,0,0,0,0,0,0,0,0,0,
Furanyl fentanyl,0,0,0,0,2,0,0,0,0,2,0,0,
Methoxyacetyl fentanyl,0,2,0,0,0,0,0,3,0,1,0,0,
Methylacetyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,
N-Methyl norfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,
Norfentanyl,0,0,0,0,0,0,0,0,0,1,0,0,
ortho-Fluorofentanyl,0,0,0,2,0,0,0,0,0,0,0,0,
para-Fluoro benzyl fentanyl,0,2,0,0,0,0,0,0,0,0,0,0,
para-Fluoro furanyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,
para-Fluorobutyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,
para-Fluorofentanyl,1,0,0,19,0,0,0,18,1,0,0,0,
para-Fluoroisobutyryl fentanyl,0,0,0,0,0,0,0,7,0,1,0,0,
Phenyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,
Sufentanil,0,0,0,0,0,0,0,0,0,0,0,0,
Thiofuranyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,
trans-3-Methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,
Valeryl fentanyl,0,6,0,4,1,0,0,8,0,5,3,0,
ANPP=4-anilino-N-phenethyl-4-piperidine,,,,,,,,,,,,,
"Source: U.S. Drug Enforcement Administration, Diversion Control Division, National Forensic Laboratory Information System, 2021. Data generated: July 21, 2021.",,,,,,,,,,,,,
"Suggested Citation: U.S. Drug Enforcement Administration, Diversion Control Division. (2021). Table 3. State counts for fentanyl and fentanyl-related compounds: 2020. Retrieved from the NFLIS Publications page at https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml",,,,,,,,,,,,,
