state_abbr,state_name,census_subregion,census_region,year,population,od_synth_latest_month_count_year,od_synth_latest_month_per100k_year,od_synth_year_sum_count,od_synth_year_sum_per100k,od_synth_year_end_12mo_count,od_synth_year_end_12mo_per100k,od_all_latest_month_count_year,od_all_latest_month_per100k_year,od_all_year_sum_count,od_all_year_sum_per100k,od_all_year_end_12mo_count,od_all_year_end_12mo_per100k,fentanyl_laws_total,fentanyl_laws_possession,fentanyl_laws_distribution_delivery,fentanyl_laws_exposing_others,fentanyl_laws_other,fentanyl_laws_sum_by_type,nflis_reports_year,nflis_unique_substances_year,nflis_unique_bases_year,cnx_recv_shipments_year,cnx_recv_quantity_kg_year,cnx_recv_value_usd_year,cnx_recv_unique_hs6_year,cnx_recv_chem_shipments_year,cnx_recv_chem_quantity_kg_year,cnx_recv_chem_value_usd_year,cnx_recv_chem_unique_chemicals_year,cnx_send_shipments_year,cnx_send_quantity_kg_year,cnx_send_value_usd_year,cnx_send_unique_hs6_year,cnx_send_chem_shipments_year,cnx_send_chem_quantity_kg_year,cnx_send_chem_value_usd_year,cnx_send_chem_unique_chemicals_year
WI,Wisconsin,East North Central,Midwest,2015,5771337,6.916667,0.119845,6.916667,0.119845,101,1.750028,60.166667,1.042508,60.166667,1.042508,645,11.17592,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WV,West Virginia,South Atlantic,South,2015,1844128,18.666667,1.012222,302,16.376304,224,12.146662,53,2.873987,658,35.68082,636,34.487845,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WY,Wyoming,Mountain,West,2015,586107,,,,,,,,,,,,,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,Alaska,Pacific,West,2016,741894,0,0,10.333333,1.392832,12,1.617482,8,1.078321,100,13.479015,96,12.939854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,Alabama,East South Central,South,2016,4863300,,,,,,,,,,,,,6,1,4,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,Arkansas,West South Central,South,2016,2988248,,,,,,,,,,,,,9,2,5,1,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,Arizona,Mountain,West,2016,6931071,,,,,,,,,,,,,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,California,Pacific,West,2016,39250017,,,,,,,,,,,,,5,2,0,0,3,5,0,0,0,8,153610,115903.632422,6,0,0,0,0,211,13800,336244.505,63,0,0,0,0
CO,Colorado,Mountain,West,2016,5540545,,,,,,,,,,,,,8,3,3,0,2,8,0,0,0,2,12320,23828.541,2,0,0,0,0,0,0,0,0,0,0,0,0
CT,Connecticut,New England,Northeast,2016,3576452,64.833333,1.812784,508,14.204021,508,14.204021,92.166667,2.577042,869,24.297824,869,24.297824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,802,4841.805,3,0,0,0,0
DE,Delaware,South Atlantic,South,2016,952065,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL,Florida,South Atlantic,South,2016,20612439,,,,,,,,,,,,,5,0,3,1,1,5,0,0,0,16,527342,590929.0422,7,0,0,0,0,12,246920,411035.041,3,0,0,0,0
GA,Georgia,South Atlantic,South,2016,10310371,24.416667,0.236817,271,2.628421,271,2.628421,87.333333,0.847044,911,8.835764,911,8.835764,1,0,1,0,0,1,0,0,0,6,96340,420654.95,2,0,0,0,0,1,78700,69520.017,1,0,0,0,0
HI,Hawaii,Pacific,West,2016,1428557,0.916667,0.064167,12.083333,0.845842,11,0.770008,6.833333,0.478338,80.166667,5.611723,82,5.740058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IA,Iowa,West North Central,Midwest,2016,3134693,6.666667,0.212674,37,1.180339,55,1.754558,14.666667,0.467882,125,3.987631,180,5.742189,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID,Idaho,Mountain,West,2016,1683140,,,,,,,,,,,,,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL,Illinois,East North Central,Midwest,2016,12801539,95.083333,0.742749,927,7.241317,927,7.241317,209.25,1.634569,1985,15.505948,1985,15.505948,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,75434,63313.993,1,0,0,0,0
IN,Indiana,East North Central,Midwest,2016,6633053,,,,,,,,,,,,,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KS,Kansas,West North Central,Midwest,2016,2907289,,,,,,,,,,,,,4,0,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KY,Kentucky,East South Central,South,2016,4436974,,,,,,,,,,,,,7,0,6,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LA,Louisiana,West South Central,South,2016,4681666,,,,,,,,,,,,,4,1,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA,Massachusetts,New England,Northeast,2016,6811779,129.75,1.904789,1552,22.784063,1552,22.784063,172.083333,2.526261,1978,29.037936,1978,29.037936,1,0,1,0,0,1,0,0,0,1,5840,38293.464,1,0,0,0,0,0,0,0,0,0,0,0,0
MD,Maryland,South Atlantic,South,2016,6016447,113.083333,1.87957,1122,18.64888,1122,18.64888,165.166667,2.745253,1866,31.014983,1866,31.014983,3,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,245,17339,263731.219,68,0,0,0,0
ME,Maine,New England,Northeast,2016,1331479,28.166667,2.115442,204,15.321308,204,15.321308,37.583333,2.822676,306,22.981962,306,22.981962,4,1,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MI,Michigan,East North Central,Midwest,2016,9928300,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,Minnesota,West North Central,Midwest,2016,5519952,,,,,,,,,,,,,3,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MO,Missouri,West North Central,Midwest,2016,6093000,,,,,,,,,,,,,2,0,2,0,0,2,0,0,0,3,218360,81039.074344,3,0,0,0,0,1,400,3115.999,1,0,0,0,0
MS,Mississippi,East South Central,South,2016,2988726,,,,,,,,,,,,,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MT,Montana,Mountain,West,2016,1042520,,,,,,,,,,,,,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC,North Carolina,South Atlantic,South,2016,10146788,43.083333,0.424601,591,5.824503,591,5.824503,125.583333,1.237666,1497,14.753437,1497,14.753437,2,1,1,0,0,2,0,0,0,30,601800,2352556.56,1,0,0,0,0,24,1012,50200.625,17,0,0,0,0
ND,North Dakota,West North Central,Midwest,2016,757953,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,Nebraska,West North Central,Midwest,2016,1907116,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NH,New Hampshire,New England,Northeast,2016,1334795,39.75,2.977985,347,25.996501,347,25.996501,47.5,3.558599,415,31.090917,415,31.090917,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NJ,New Jersey,Middle Atlantic,Northeast,2016,8944469,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,27,379760,3495120.749,12,0,0,0,0,133,47974,287792.868,67,0,0,0,0
NM,New Mexico,Mountain,West,2016,2081015,11.416667,0.54861,78,3.748171,78,3.748171,38.416667,1.846054,356,17.107037,356,17.107037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NV,Nevada,Mountain,West,2016,2940058,1,0.034013,50,1.700647,50,1.700647,16.166667,0.549876,423,14.387471,423,14.387471,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NY,New York,Middle Atlantic,Northeast,2016,19745289,101.333333,0.513203,1095,5.545627,1095,5.545627,169,0.8559,1928,9.764354,1928,9.764354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,671043,335167.567,3,0,0,0,0
OH,Ohio,East North Central,Midwest,2016,11614373,228.666667,1.968825,2305,19.846099,2305,19.846099,340.75,2.933865,3627,31.228548,3627,31.228548,5,0,5,0,0,5,0,0,0,9,152330,4360813.3215,6,0,0,0,0,99,53398,349811.835,50,0,0,0,0
OK,Oklahoma,West South Central,South,2016,3923561,14.666667,0.37381,99.666667,2.540209,95,2.42127,49.583333,1.263733,432,11.010406,432,11.010406,4,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR,Oregon,Pacific,West,2016,4093465,0.75,0.018322,41,1.001596,41,1.001596,27.333333,0.667731,306,7.47533,306,7.47533,4,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA,Pennsylvania,Middle Atlantic,Northeast,2016,12784227,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,3,43000,170594,2,0,0,0,0,24,22012,99492.904,19,0,0,0,0
RI,Rhode Island,New England,Northeast,2016,1056426,13,1.230564,197,18.64778,197,18.64778,25.333333,2.398023,297,28.113659,297,28.113659,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC,South Carolina,South Atlantic,South,2016,4961119,34.75,0.700447,234,4.716678,234,4.716678,76.75,1.54703,613,12.356083,613,12.356083,2,1,1,0,0,2,0,0,0,6,24250,125101.124,6,0,0,0,0,2,268,2407.797,1,0,0,0,0
SD,South Dakota,West North Central,Midwest,2016,865454,0.916667,0.105917,12,1.386555,11,1.271009,3.416667,0.394783,43,4.968491,41,4.737398,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TN,Tennessee,East South Central,South,2016,6651194,28.666667,0.431,394,5.923748,394,5.923748,92.666667,1.393234,1200,18.041873,1200,18.041873,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,262881,282728.162,5,0,0,0,0
TX,Texas,West South Central,South,2016,27862596,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,489,33076998,36829177.492422,83,0,0,0,0,138,3439598,3243729.622,47,0,0,0,0
UT,Utah,Mountain,West,2016,3051217,2.25,0.073741,77,2.523583,77,2.523583,16.583333,0.543499,475,15.567559,475,15.567559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VA,Virginia,South Atlantic,South,2016,8411808,61.75,0.734087,650,7.727233,650,7.727233,86.833333,1.032279,1117,13.278953,1117,13.278953,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VT,Vermont,New England,Northeast,2016,624594,11.75,1.881222,56.25,9.00585,56,8.965824,13.416667,2.148062,107,17.131128,107,17.131128,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WA,Washington,Pacific,West,2016,7288000,6.416667,0.088044,94,1.289791,94,1.289791,54.5,0.747805,721,9.892975,721,9.892975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4423,37875.205,4,0,0,0,0
WI,Wisconsin,East North Central,Midwest,2016,5778709,23.916667,0.413876,310,5.36452,287,4.966507,72.166667,1.248837,715,12.373006,866,14.986046,2,1,1,0,0,2,0,0,0,10,250820,924198.948313,7,0,0,0,0,6,2840,19091.79,6,0,0,0,0
WV,West Virginia,South Atlantic,South,2016,1831102,52.666667,2.876228,432,23.59235,432,23.59235,73,3.98667,734,40.085151,734,40.085151,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WY,Wyoming,Mountain,West,2016,585501,,,,,,,,,,,,,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,Alaska,Pacific,West,2017,739795,3.083333,0.416782,16.5,2.230348,37,5.001386,11,1.486898,101,13.652431,100,13.517258,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,Alabama,East South Central,South,2017,4874747,,,,,,,,,,,,,6,1,4,1,0,6,373,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,Arkansas,West South Central,South,2017,3004279,,,,,,,,,,,,,9,2,5,1,3,11,178,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,Arizona,Mountain,West,2017,7016270,21.916667,0.312369,336,4.788869,263,3.74843,78,1.111702,998,14.224082,936,13.340422,1,0,1,0,0,1,415,8,4,1,1250,5043.25,1,0,0,0,0,0,0,0,0,0,0,0,0
CA,California,Pacific,West,2017,39536653,,,,,,,,,,,,,5,2,0,0,3,5,839,25,13,12,159710,563464.839,7,0,0,0,0,37,1696993,363443.538941,15,0,0,0,0
CO,Colorado,Mountain,West,2017,5607154,,,,,,,,,,,,,8,3,3,0,2,8,50,5,3,2,27650,26718.195,1,0,0,0,0,0,0,0,0,0,0,0,0
CT,Connecticut,New England,Northeast,2017,3588184,83.833333,2.336372,696,19.396999,696,19.396999,100.166667,2.79157,967,26.949566,967,26.949566,0,0,0,0,0,0,561,19,12,0,0,0,0,0,0,0,0,11,3219,17068.764,10,0,0,0,0
DE,Delaware,South Atlantic,South,2017,961939,,,,,,,,,,,,,0,0,0,0,0,0,95,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL,Florida,South Atlantic,South,2017,20984400,,,,,,,,,,,,,5,0,3,1,1,5,2761,31,19,6,61430,295366.263,5,0,0,0,0,16,313320,922978.335,3,0,0,0,0
GA,Georgia,South Atlantic,South,2017,10429379,36.416667,0.349174,406,3.892849,406,3.892849,99.333333,0.952438,1003,9.617063,1003,9.617063,1,0,1,0,0,1,275,16,12,3,20674,237983.9,2,0,0,0,0,2,141976,134313.986,1,0,0,0,0
