state_abbr,state_name,year,hs6,goods_description,shipment_records,total_quantity_kg,total_value_usd
CA,California,2016,903300,NAVAJAS PARA MICROTOMO PAQUETE CON 50,1,47.0,5814.562
CA,California,2016,903300,PROPELAS PARA AGITADOR,1,1.0,119.321
CA,California,2016,903300,PUNTAS PARA ELECTRODO,1,1.0,125.987
CA,California,2016,960400,CEDAZO DE METAL,1,2.0,76.699
CT,Connecticut,2016,271019,KEROSENO.(ORDEN 3),1,203.0,1095.985
CT,Connecticut,2016,281119,ACIDO BROMHIDRICO,1,567.0,3341.82
CT,Connecticut,2016,291412,METILETILCETONA.(ORDEN 2),1,32.0,404.0
FL,Florida,2016,291735,ANHÍDRIDO FTÁLICO.,2,54000.0,42120.01
FL,Florida,2016,292910,TOLUEN DIISOCIANATO.,3,60000.0,146099.994
FL,Florida,2016,390720,POLIOL CONVENCIONAL (POLIOL BH-5631),1,22000.0,30689.989
FL,Florida,2016,390720,POLIOL CONVENCIONAL BH-5631,1,22000.0,34100.014
FL,Florida,2016,390720,POLIOL POLIMERICO ( KONIX KE-878N ),3,50400.0,96096.027
FL,Florida,2016,390720,POLIOL Y-5613 ( POLIOL CONVENCIONAL ),2,38520.0,61929.007
GA,Georgia,2016,382313,ACIDOS GRASOS DEL TALL OIL,1,78700.0,69520.017
IL,Illinois,2016,382312,ACIDO OLEICO,1,75434.0,63313.993
MD,Maryland,2016,170199,SACAROSA,1,1.0,8.089
MD,Maryland,2016,170199,SACAROSA FRASCO,2,0.0,1962.333
MD,Maryland,2016,170199,SUCROSA,1,1.0,7.897
MD,Maryland,2016,170240,DEXTROSA,1,0.0,391.007
MD,Maryland,2016,170250,FRUCTUOSA,3,5.0,407.81399999999996
MD,Maryland,2016,281000,ACIDO BORICO,2,5.0,142.274
MD,Maryland,2016,281122,SILICA GEL,1,5.0,223.003
MD,Maryland,2016,281810,OXIDO DE ALUMINIO,2,10.0,310.99299999999994
MD,Maryland,2016,283522,FOSFATO SODICO DIBASICO,2,1.0,1022.2850000000001
MD,Maryland,2016,283524,FOSFATO DE POTASIO,2,1.0,1022.2850000000001
MD,Maryland,2016,284290,SELENIURO DE NIQUEL,1,0.0,59.301
MD,Maryland,2016,284590,"ACETONA DEUTERADA, NITROMETANO DEUTERADO, CLOROFORMO DEUTERADO, ACETONA DEUTERADO",1,0.0,671.269
MD,Maryland,2016,284590,"ACETONITRILO DEUTERADO, ACETONA DEUTERADA",1,0.0,135.587
MD,Maryland,2016,284590,"DIETIL (DIAZINON) DEUTERADO, METANOL DEUTERADO",1,0.0,671.547
MD,Maryland,2016,285300,AGUA DESTILADA,2,2.0,46.188
MD,Maryland,2016,290110,HEXANO,2,3085.0,5298.73
MD,Maryland,2016,290110,ISO-OCTANO,1,1848.0,325.69
MD,Maryland,2016,290211,CICLOHEXANO.,1,106.0,1761.423
MD,Maryland,2016,290312,CLORURO DE METILENO (DICLOROMETANO),1,88.0,694.167
MD,Maryland,2016,290312,CLORURO DE METILENO (DIOCLOROMETANO),1,123.0,937.08
MD,Maryland,2016,290313,CLOROFORMO,1,18.0,216.731
MD,Maryland,2016,290511,METANOL,2,3085.0,21039.396999999997
MD,Maryland,2016,290512,ALCOHOL ISOPROPILICO (ISOPROPANOL),1,70.0,571.509
MD,Maryland,2016,290543,MANITOL.,1,0.0,193.903
MD,Maryland,2016,290950,2-TER-BUTIL-4-HIDROXIANISOLO,1,0.0,199.39
MD,Maryland,2016,291260,PARAFORMALDEHIDO,2,4.0,113.501
MD,Maryland,2016,291411,ACETONA,1,53.0,272.101
MD,Maryland,2016,291531,ACETATO DE ETILO,1,18.0,105.908
MD,Maryland,2016,291734,FTALATO DE DIETILO,1,1.0,42.52400000000001
MD,Maryland,2016,291739,HIDROGENOFTALATO DE POTASIO,1,0.0,466.965
MD,Maryland,2016,291815,CITRATO DE SODIO,1,1.0,20.983
MD,Maryland,2016,291829,P-HIDROXIBENZOATO DE PROPILO,1,0.0,1955.09
MD,Maryland,2016,291899,1-METILETIL-2{{-2-{4(CLORURO BENZOIL))FENOXIL}-2-METILPROPANOL)OXI}-METILPROPANOATO,1,0.0,621.569
MD,Maryland,2016,292090,LAURIL SULFATO DE SODIO,2,2.0,213.924
MD,Maryland,2016,292130,CLORHIDRATO DE MEMANTINA,1,0.0,398.838
MD,Maryland,2016,292219,TRIS(HIDROXIMETIL)AMINIOMETANO,1,1.0,50.382
MD,Maryland,2016,292219,"TRIS(HIDROXIMETIL)AMINIOMETANO, 1,3-PROPANEDIOL,2-AMINO-2-(HIDROXIMITIL CLORHIDRATO)",2,12.0,594.843
MD,Maryland,2016,292249,ACIDO AMINOACETICO,2,3.0,77.46300000000001
MD,Maryland,2016,292390,HIDROGENO SULFATO DE TETRA-N-BUTULAMONIO,1,0.0,139.239
MD,Maryland,2016,292419,"GLUTAMINA, N,N,-METILEN-BIS-ACRILAMIDA",1,1.0,183.714
MD,Maryland,2016,292419,"N,N,-METILEN-BIS-ACRILAMIDA",1,1.0,323.785
MD,Maryland,2016,292690,ACETONITRILO,2,5702.0,46641.66
MD,Maryland,2016,293090,SULFOXIDO DE DIMETILO.,2,211.0,7310.056999999999
MD,Maryland,2016,293211,TETRAHIDROFURANO,1,35.0,695.0930000000001
MD,Maryland,2016,293299,ACARBOSA,1,0.0,775.503
MD,Maryland,2016,293349,BROMHIDRATO DE DEXTROMETORFAN,1,1.0,238.596
MD,Maryland,2016,293349,SODIO MONTELUKAST,1,0.0,997.007
MD,Maryland,2016,293359,(4-(2-HIDROXIETEL)-1 DEL ACIDO ETANSULFONICO DE PIPERAZINA,1,0.0,59.508
MD,Maryland,2016,293359,4-(HIDROXIETEL)-1 DEL ACIDO ETANSULFONICO DE PIPERAZINA,1,0.0,63.006
