state_abbr,state_name,year,population,source_dataset,source_url,source_note
FL,Florida,2020,21538187,2020 Census PL P1_001N,"https://api.census.gov/data/2020/dec/pl?get=NAME,P1_001N&for=state:*",Decennial census count
FL,Florida,2021,21781128,ACS 1-year B01003_001E,"https://api.census.gov/data/2021/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
FL,Florida,2022,22244823,ACS 1-year B01003_001E,"https://api.census.gov/data/2022/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
FL,Florida,2023,22610726,ACS 1-year B01003_001E,"https://api.census.gov/data/2023/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
FL,Florida,2024,23372215,ACS 1-year B01003_001E,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
FL,Florida,2025,23372215,Carry-forward from 2024 ACS,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B01003_001E&for=state:*",Used for 2025 monthly normalization
GA,Georgia,2015,10214860,ACS 1-year B01003_001E,"https://api.census.gov/data/2015/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
GA,Georgia,2016,10310371,ACS 1-year B01003_001E,"https://api.census.gov/data/2016/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
GA,Georgia,2017,10429379,ACS 1-year B01003_001E,"https://api.census.gov/data/2017/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
GA,Georgia,2018,10519475,ACS 1-year B01003_001E,"https://api.census.gov/data/2018/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
GA,Georgia,2019,10617423,ACS 1-year B01003_001E,"https://api.census.gov/data/2019/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
GA,Georgia,2020,10711908,2020 Census PL P1_001N,"https://api.census.gov/data/2020/dec/pl?get=NAME,P1_001N&for=state:*",Decennial census count
GA,Georgia,2021,10799566,ACS 1-year B01003_001E,"https://api.census.gov/data/2021/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
GA,Georgia,2022,10912876,ACS 1-year B01003_001E,"https://api.census.gov/data/2022/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
GA,Georgia,2023,11029227,ACS 1-year B01003_001E,"https://api.census.gov/data/2023/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
